id	label1	label2
posSynth1	1	1
negSynth1	0	0
posSynth2	1	1
negSynth2	0	0
posSynth3	1	1
negSynth3	0	0
posSynth4	1	1
negSynth4	0	0
posSynth5	1	1
negSynth5	0	0
posSynth6	1	1
negSynth6	0	0
posSynth7	1	1
negSynth7	0	0
posSynth8	1	1
negSynth8	0	0
posSynth9	1	1
negSynth9	0	0
posSynth10	1	1
negSynth10	0	0
posSynth11	1	1
negSynth11	0	0
posSynth12	1	1
negSynth12	0	0
posSynth13	1	1
negSynth13	0	0
posSynth14	1	1
negSynth14	0	0
posSynth15	1	1
negSynth15	0	0
posSynth16	1	1
negSynth16	0	0
posSynth17	1	1
negSynth17	0	0
posSynth18	1	1
negSynth18	0	0
posSynth19	1	1
negSynth19	0	0
posSynth20	1	1
negSynth20	0	0
posSynth21	1	1
negSynth21	0	0
posSynth22	1	1
negSynth22	0	0
posSynth23	1	1
negSynth23	0	0
posSynth24	1	1
negSynth24	0	0
posSynth25	1	1
negSynth25	0	0
posSynth26	1	1
negSynth26	0	0
posSynth27	1	1
negSynth27	0	0
posSynth28	1	1
negSynth28	0	0
posSynth29	1	1
negSynth29	0	0
posSynth30	1	1
negSynth30	0	0
posSynth31	1	1
negSynth31	0	0
posSynth32	1	1
negSynth32	0	0
posSynth33	1	1
negSynth33	0	0
posSynth34	1	1
negSynth34	0	0
posSynth35	1	1
negSynth35	0	0
posSynth36	1	1
negSynth36	0	0
posSynth37	1	1
negSynth37	0	0
posSynth38	1	1
negSynth38	0	0
posSynth39	1	1
negSynth39	0	0
posSynth40	1	1
negSynth40	0	0
posSynth41	1	1
negSynth41	0	0
posSynth42	1	1
negSynth42	0	0
posSynth43	1	1
negSynth43	0	0
posSynth44	1	1
negSynth44	0	0
posSynth45	1	1
negSynth45	0	0
posSynth46	1	1
negSynth46	0	0
posSynth47	1	1
negSynth47	0	0
posSynth48	1	1
negSynth48	0	0
posSynth49	1	1
negSynth49	0	0
posSynth50	1	1
negSynth50	0	0
posSynth51	1	1
