id	gata	tal	gataAndTal
allNs_synth1	0	0	0
allNs_synth2	0	0	0
allNs_synth3	0	0	0
allNs_synth4	0	0	0
allNs_synth5	0	0	0
allNs_synth6	0	0	0
allNs_synth7	0	0	0
allNs_synth8	0	0	0
allNs_synth9	0	0	0
allNs_synth10	0	0	0
allNs_synth11	0	0	0
allNs_synth12	0	0	0
allNs_synth13	0	0	0
allNs_synth14	0	0	0
allNs_synth15	0	0	0
allNs_synth16	0	0	0
allNs_synth17	0	0	0
allNs_synth18	0	0	0
allNs_synth19	0	0	0
allNs_synth20	0	0	0
allNs_synth21	0	0	0
allNs_synth22	0	0	0
allNs_synth23	0	0	0
allNs_synth24	0	0	0
allNs_synth25	0	0	0
allNs_synth26	0	0	0
allNs_synth27	0	0	0
allNs_synth28	0	0	0
allNs_synth29	0	0	0
allNs_synth30	0	0	0
allNs_synth31	0	0	0
allNs_synth32	0	0	0
allNs_synth33	0	0	0
allNs_synth34	0	0	0
allNs_synth35	0	0	0
allNs_synth36	0	0	0
allNs_synth37	0	0	0
allNs_synth38	0	0	0
allNs_synth39	0	0	0
allNs_synth40	0	0	0
allNs_synth41	0	0	0
allNs_synth42	0	0	0
allNs_synth43	0	0	0
allNs_synth44	0	0	0
allNs_synth45	0	0	0
allNs_synth46	0	0	0
allNs_synth47	0	0	0
allNs_synth48	0	0	0
allNs_synth49	0	0	0
allNs_synth50	0	0	0
allNs_synth51	0	0	0
allNs_synth52	0	0	0
allNs_synth53	0	0	0
allNs_synth54	0	0	0
allNs_synth55	0	0	0
allNs_synth56	0	0	0
allNs_synth57	0	0	0
allNs_synth58	0	0	0
allNs_synth59	0	0	0
allNs_synth60	0	0	0
allNs_synth61	0	0	0
allNs_synth62	0	0	0
allNs_synth63	0	0	0
allNs_synth64	0	0	0
allNs_synth65	0	0	0
allNs_synth66	0	0	0
allNs_synth67	0	0	0
allNs_synth68	0	0	0
allNs_synth69	0	0	0
allNs_synth70	0	0	0
allNs_synth71	0	0	0
allNs_synth72	0	0	0
allNs_synth73	0	0	0
allNs_synth74	0	0	0
allNs_synth75	0	0	0
allNs_synth76	0	0	0
allNs_synth77	0	0	0
allNs_synth78	0	0	0
allNs_synth79	0	0	0
allNs_synth80	0	0	0
allNs_synth81	0	0	0
allNs_synth82	0	0	0
allNs_synth83	0	0	0
allNs_synth84	0	0	0
allNs_synth85	0	0	0
allNs_synth86	0	0	0
allNs_synth87	0	0	0
allNs_synth88	0	0	0
allNs_synth89	0	0	0
allNs_synth90	0	0	0
allNs_synth91	0	0	0
allNs_synth92	0	0	0
allNs_synth93	0	0	0
allNs_synth94	0	0	0
allNs_synth95	0	0	0
allNs_synth96	0	0	0
allNs_synth97	0	0	0
allNs_synth98	0	0	0
allNs_synth99	0	0	0
allNs_synth100	0	0	0
allNs_synth101	0	0	0
allNs_synth102	0	0	0
allNs_synth103	0	0	0
allNs_synth104	0	0	0
allNs_synth105	0	0	0
allNs_synth106	0	0	0
allNs_synth107	0	0	0
allNs_synth108	0	0	0
allNs_synth109	0	0	0
allNs_synth110	0	0	0
allNs_synth111	0	0	0
allNs_synth112	0	0	0
allNs_synth113	0	0	0
allNs_synth114	0	0	0
allNs_synth115	0	0	0
allNs_synth116	0	0	0
allNs_synth117	0	0	0
allNs_synth118	0	0	0
allNs_synth119	0	0	0
allNs_synth120	0	0	0
allNs_synth121	0	0	0
allNs_synth122	0	0	0
allNs_synth123	0	0	0
allNs_synth124	0	0	0
allNs_synth125	0	0	0
allNs_synth126	0	0	0
allNs_synth127	0	0	0
allNs_synth128	0	0	0
allNs_synth129	0	0	0
allNs_synth130	0	0	0
allNs_synth131	0	0	0
allNs_synth132	0	0	0
allNs_synth133	0	0	0
allNs_synth134	0	0	0
